time,acc-side,acc-up/down,acc-front/back
1566152794354,0.34,6.32,-0.96
1566152794374,-1.26,3.56,-1.61
1566152794394,-1.76,-0.54,-1.19
1566152794414,-2.3,-3.53,-3.41
1566152794434,-3.18,-4.98,-6.94
1566152794454,-1.92,-6.97,-6.63
1566152794474,-0.31,-4.68,-3.99
1566152794494,0.73,-1.26,0.54
1566152794514,-2.11,4.29,0.57
1566152794534,-2.03,12.45,-4.06
1566152794554,8.81,23.72,-10.84
1566152794574,0.57,6.94,-8.7
1566152794594,-3.95,24.91,-2.38
1566152794614,-2.49,23.03,-0.96
1566152794634,-3.79,20.81,-2.49
1566152794654,-1.11,18.51,-0.42
1566152794674,-0.61,16.17,-2.41
1566152794694,0.23,13.22,-1.15
1566152794714,1.11,8.78,-1.76
1566152794734,1.61,7.32,-1.61
1566152794754,1.19,4.06,-0.23
1566152794774,1.99,1.95,-1.92
1566152794794,3.53,-1.38,-3.41
1566152794814,2.87,-4.48,-7.13
1566152794834,1.3,-5.71,-5.25
1566152794854,0.34,-5.02,-2.38
1566152794874,0.38,-2.68,-1.42
1566152794894,1.76,1.53,-3.83
1566152794914,-0.23,10.35,-1.15
1566152794934,-2.07,39.55,-10.73
1566152794954,4.22,14.68,3.53
1566152794974,4.29,18.97,-5.02
1566152794994,3.45,21.19,-0.46
1566152795014,5.21,20.08,0.84
1566152795034,3.99,17.36,-0.8
1566152795054,2.53,12.38,-1.69
1566152795074,1.49,7.82,0.77
1566152795094,0.34,6.05,-1.42
1566152795114,-0.38,3.95,-0.08
1566152795134,-1.15,1.03,-2.11
1566152795154,-2.49,-2.64,-3.07
1566152795174,-4.45,-3.22,-7.05
1566152795194,-3.6,-5.02,-6.44
1566152795214,-1.65,-3.83,-4.14
1566152795234,0.15,-1.26,-0.38
1566152795254,-1.34,2.49,-0.8
1566152795274,1.76,8.32,-3.53
1566152795294,8.09,27.97,-4.94
1566152795314,-0.38,24.87,-11.11
1566152795334,-7.36,13.76,4.29
1566152795354,-4.29,26.36,-0.27
1566152795374,-2.26,17.9,-0.92
1566152795394,0.54,18.74,-0.04
1566152795414,0,14.68,-2.11
1566152795434,-0.23,10.58,-1
1566152795454,0.42,9.35,-1.07
1566152795474,1.53,6.48,-3.87
1566152795494,1.23,3.45,-1.46
1566152795514,1.92,1.3,-1.11
1566152795534,3.45,-2.99,-4.83
1566152795554,3.76,-6.51,-6.44
1566152795574,1.72,-6.51,-4.6
1566152795594,0.08,-3.91,-2.38
1566152795614,0,-2.15,-0.96
1566152795634,1.19,1.88,-4.87
1566152795654,-3.64,16.75,-0.84
1566152795674,2.15,32.19,-19.62
1566152795694,5.1,9.01,5.56
1566152795714,4.48,29.28,-4.75
1566152795734,3.87,18.51,-1.46
1566152795754,4.29,21.57,-4.06
